id,original_language,popularity,release_date,title,vote_average,vote_count
26638,it,6.963,04-09-1964,Red Desert,7.4,357
6916,it,16.411,29-03-1974,"Watch Out, We're Mad",7.4,674
576845,en,40.199,21-10-2021,Last Night in Soho,7.4,2163
451499,fr,7.618,22-02-2017,School of Life,7.4,245
134350,ja,8.404,14-09-2013,Why Don't You Play in Hell?,7.4,228
118412,ja,15.774,23-06-2012,Berserk: The Golden Age Arc II - The Battle for Doldrey,7.4,286
9509,en,26.364,23-04-2004,Man on Fire,7.4,4327
1813,en,27.741,17-10-1997,The Devil's Advocate,7.4,4968
985,en,13.459,19-03-1977,Eraserhead,7.4,2003
615666,en,62.145,24-11-2021,A Boy Called Christmas,7.4,503
250219,it,6.719,06-02-2014,I Can Quit Whenever I Want,7.4,1663
206487,en,29.019,28-08-2014,Predestination,7.4,5509
129670,en,7.682,21-09-2013,Nebraska,7.4,1514
20558,en,20.755,13-12-2005,Scooby-Doo! in Where's My Mummy?,7.4,320
8333,en,10.347,02-10-1974,The Taking of Pelham One Two Three,7.4,364
6114,en,27.486,13-11-1992,Bram Stoker's Dracula,7.4,4258
1360,en,18.834,29-08-2002,Frida,7.4,1804
453395,en,259.375,04-05-2022,Doctor Strange in the Multiverse of Madness,7.4,6414
9549,en,10.693,20-10-1983,The Right Stuff,7.4,709
408647,en,20.736,31-03-2017,Teen Titans: The Judas Contract,7.4,574
271110,en,81.707,27-04-2016,Captain America: Civil War,7.4,20497
17529,en,21.553,11-06-1969,True Grit,7.4,627
10435,en,15.915,17-12-1992,Chaplin,7.4,866
8055,en,24.561,02-01-2008,The Reader,7.4,2553
466272,en,33.892,24-07-2019,Once Upon a Time… in Hollywood,7.4,11133
458156,en,89.444,15-05-2019,John Wick: Chapter 3 - Parabellum,7.4,8362
190859,en,61.842,25-12-2014,American Sniper,7.4,11484
1523,en,12.182,12-01-2006,The Last King of Scotland,7.4,1758
634544,en,12.286,25-11-2020,Uncle Frank,7.4,331
519010,es,14.522,22-03-2019,Pain and Glory,7.4,1562
64847,ja,15.152,30-06-1973,Belladonna of Sadness,7.4,212
37181,fa,9.769,06-06-2009,About Elly,7.4,394
10400,en,13.084,17-09-1999,The Hurricane,7.4,1185
9918,en,14.306,13-01-2006,Glory Road,7.4,615
380225,it,8.006,17-05-2016,Like Crazy,7.4,809
269258,de,11.822,25-12-2014,Head Full of Honey,7.4,298
13475,en,35.935,06-05-2009,Star Trek,7.4,8900
7294,fi,8.4,01-03-2002,The Man Without a Past,7.4,239
187,en,26.532,01-04-2005,Sin City,7.4,7070
319373,ja,8.837,30-05-2015,Sweet Bean,7.4,421
290542,en,13.953,10-10-2014,You're Not You,7.4,708
271706,zh,18.233,08-07-2016,Big Fish & Begonia,7.4,373
12780,cn,12.252,03-09-1993,Iron Monkey,7.4,229
11545,en,11.597,11-12-1998,Rushmore,7.4,2068
4251,hi,13.837,12-11-2004,Veer-Zaara,7.4,214
568,en,20.242,30-06-1995,Apollo 13,7.4,4694
589982,fr,10.673,12-09-2019,Spread Your Wings,7.4,249
339984,en,47.965,17-03-2016,Miracles from Heaven,7.4,1029
11978,en,22.486,13-09-2000,Men of Honor,7.4,1883
626735,en,166.892,17-02-2022,Dog,7.4,1026
544401,en,30.492,26-02-2021,Cherry,7.4,1034
416494,en,23.556,09-02-2018,Status Update,7.4,453
73456,en,38.766,05-10-2011,Barbie: Princess Charm School,7.4,647
72478,pl,8.603,04-03-2011,Suicide Room,7.4,405
13754,ja,20.902,21-10-2006,Tekkonkinkreet,7.4,294
704,en,9.349,07-07-1964,A Hard Day's Night,7.4,545
284052,en,62.202,25-10-2016,Doctor Strange,7.4,19864
18988,en,10.898,30-10-1968,The Lion in Winter,7.4,260
14092,ja,12.47,12-07-2008,Ghost in the Shell 2.0,7.4,325
395834,en,24.924,03-08-2017,Wind River,7.4,4398
193756,en,24.805,24-12-2013,Lone Survivor,7.4,3656
39107,ja,56.423,04-03-1995,Dragon Ball Z: Fusion Reborn,7.4,677
16372,en,8.417,15-12-1961,The Innocents,7.4,464
24226,en,8.633,08-12-1982,The Verdict,7.4,482
11615,en,18.859,21-02-2003,The Life of David Gale,7.4,1713
11710,de,10.668,01-11-1974,The Enigma of Kaspar Hauser,7.4,251
614939,en,34.563,30-09-2022,Bros,7.4,220
5967,fr,8.96,19-02-1964,The Umbrellas of Cherbourg,7.4,595
637693,en,57.703,20-05-2021,Spirit Untamed,7.4,420
402693,es,7.023,04-11-2016,100 Meters,7.4,238
25403,it,7.732,12-10-1993,Caro Diario,7.4,338
11901,en,18.368,19-04-1973,High Plains Drifter,7.4,905
363,de,8.673,11-03-2004,Head-On,7.4,447
758866,ja,21.366,18-08-2021,Drive My Car,7.4,818
439584,it,5.611,30-11-2017,I Can Quit Whenever I Want 3: Ad Honorem,7.4,880
845222,ko,28.672,23-07-2021,Kingdom: Ashin of the North,7.4,411
663260,fr,10.61,08-09-2021,Black Box,7.4,785
595975,fr,15.717,06-11-2019,La Belle Époque,7.4,810
339380,en,18.315,25-12-2018,On the Basis of Sex,7.4,876
101299,en,46.614,15-11-2013,The Hunger Games: Catching Fire,7.4,15363
2292,en,13.359,13-09-1994,Clerks,7.4,2081
823,ja,15.776,17-11-1999,Jin-Roh: The Wolf Brigade,7.4,366
26963,en,19.356,09-02-2009,The Secret of Kells,7.4,554
615,en,44.009,25-02-2004,The Passion of the Christ,7.4,3623
13350,en,11.312,16-10-1988,Scooby-Doo and the Ghoul School,7.4,261
9461,en,18.027,17-08-1973,Enter the Dragon,7.4,1500
1653,es,13.02,06-02-2004,The Motorcycle Diaries,7.4,1088
25673,en,8.627,12-06-1951,A Place in the Sun,7.4,298
755339,pt,12.228,03-12-2020,Just Another Christmas,7.4,342
18917,cs,12.688,03-08-1988,Alice,7.4,261
6644,en,17.007,17-12-1966,El Dorado,7.4,415
2056,en,9.264,26-01-2003,The Station Agent,7.4,541
114,en,44.71,23-03-1990,Pretty Woman,7.4,6739
377263,fr,11.179,07-09-2016,Frantz,7.4,600
94329,id,21.193,22-03-2012,The Raid,7.4,2816
25623,ja,9.071,26-08-1977,House,7.4,465
16646,ru,6.62,22-05-2002,Russian Ark,7.4,367
10784,en,14.685,13-02-1972,Cabaret,7.4,727
2767,fr,10.848,16-10-1991,The Lovers on the Bridge,7.4,248
242,en,75.646,25-12-1990,The Godfather Part III,7.4,5187
161,en,45.322,07-12-2001,Ocean's Eleven,7.4,10109
516486,en,23.162,10-07-2020,Greyhound,7.4,2297
3085,en,12.607,18-01-1940,His Girl Friday,7.4,649
1052,en,10.616,18-12-1966,Blow-Up,7.4,997
639,en,17.724,12-01-1989,When Harry Met Sally...,7.4,3372
507505,es,8.547,09-08-2018,El Angel,7.4,481
36208,en,7.533,14-04-1918,A Dog's Life,7.4,254
649,fr,13.512,24-05-1967,Belle de Jour,7.4,686
492,en,17.384,29-10-1999,Being John Malkovich,7.4,3658
818750,en,46.327,11-02-2022,The In Between,7.4,509
273895,en,10.127,25-12-2014,Selma,7.4,1994
75233,no,8.79,31-08-2011,"Oslo, August 31st",7.4,315
1391,es,34.326,08-06-2001,Y Tu Mamá También,7.4,1215
575,de,11.383,07-03-2001,The Experiment,7.4,904
36095,ja,29.075,27-12-1997,Cure,7.4,306
164249,fr,5.127,14-01-1985,Santa Claus Is a Stinker,7.4,228
137106,en,27.93,06-02-2014,The Lego Movie,7.4,6801
394117,en,15.215,06-10-2017,The Florida Project,7.4,2328
332270,ru,17.67,02-04-2015,Battle for Sevastopol,7.4,365
250538,en,7.571,27-06-2014,The Good Lie,7.4,436
17654,en,27.638,05-08-2009,District 9,7.4,8214
2503,en,28.662,03-08-2007,The Bourne Ultimatum,7.4,6705
462,en,20.867,17-03-2000,Erin Brockovich,7.4,2612
514575,es,8.869,20-09-2018,A Twelve-Year Night,7.4,246
491584,ko,18.768,17-05-2018,Burning,7.4,1256
11661,fr,15.906,09-11-2005,Joyeux Noel,7.4,733
686,en,24.885,11-07-1997,Contact,7.4,3725
615643,en,17.546,12-02-2021,Minari,7.4,1226
233639,de,9.632,21-03-2013,Windstorm,7.4,240
228203,en,12.288,20-02-2015,"McFarland, USA",7.4,638
49020,en,11.563,18-03-2011,Submarine,7.4,1243
19100,fr,9.505,28-06-2006,Those Happy Days,7.4,830
17474,en,11.982,30-09-1991,The Man in the Moon,7.4,234
414425,en,9.677,16-11-2017,Mudbound,7.4,1074
21450,en,12.583,14-09-1993,Naked,7.4,411
10849,en,11.136,01-03-1985,The Purple Rose of Cairo,7.4,840
3089,en,9.468,26-08-1948,Red River,7.4,407
839,en,17.917,13-11-1971,Duel,7.4,1506
387426,en,25.083,28-06-2017,Okja,7.4,3778
533444,en,36.558,15-11-2019,Waves,7.4,477
303483,fr,6.76,03-12-2014,Once in a Lifetime,7.4,273
48282,it,4.388,08-03-1978,Ecce Bombo,7.4,211
388,en,21.575,17-03-2006,Inside Man,7.4,4930
451751,en,10.221,13-10-2017,American Satan,7.4,215
427033,de,6.159,21-12-2017,This Crazy Heart,7.4,241
12207,cn,22.15,03-02-1994,The Legend of Drunken Master,7.4,787
258893,en,15.316,25-03-2014,Scooby-Doo! WrestleMania Mystery,7.4,258
51828,en,40.256,02-03-2011,One Day,7.4,3676
25955,en,8.991,27-05-1953,Pickup on South Street,7.4,218
9462,cn,19.704,01-06-1972,The Way of the Dragon,7.4,902
4476,en,22.265,16-12-1994,Legends of the Fall,7.4,2134
2898,en,18.566,19-12-1997,As Good as It Gets,7.4,3169
621,en,29.294,07-07-1978,Grease,7.4,6335
353081,en,41.682,13-07-2018,Mission: Impossible - Fallout,7.4,6871
247645,hi,7.397,07-03-2014,Queen,7.4,224
165213,ko,13.697,21-02-2013,New World,7.4,349
40823,pt,5.867,13-06-2003,The Man Who Copied,7.4,290
37135,en,60.946,18-06-1999,Tarzan,7.4,5854
5723,en,10.287,23-03-2007,Once,7.4,1112
763,en,20.083,13-08-1992,Braindead,7.4,1332
376867,en,17.456,21-10-2016,Moonlight,7.4,6282
121986,en,13.183,17-05-2013,Frances Ha,7.4,1266
76589,en,26.945,28-02-2012,Justice League: Doom,7.4,717
49361,it,8.508,29-09-1972,Don't Torture a Duckling,7.4,296
406385,it,6.973,02-02-2017,I Can Quit Whenever I Want 2: Masterclass,7.4,1123
10867,it,35.035,16-03-2000,Malena,7.4,1791
9504,en,11.655,15-09-1992,Glengarry Glen Ross,7.4,1060
5123,en,21.393,21-11-2007,August Rush,7.4,2415
713,en,14.565,19-05-1993,The Piano,7.4,1214
432836,ko,13.402,07-09-2017,Memoir of a Murderer,7.4,229
13446,en,8.012,19-06-1987,Withnail & I,7.4,434
11416,en,17.818,29-09-1986,The Mission,7.4,1158
46919,cs,13.243,30-12-1966,Daisies,7.4,245
31522,fr,7.322,06-09-1961,A Woman Is a Woman,7.4,294
427,fr,9.965,10-05-1958,Mon Oncle,7.4,422
481432,it,9.627,31-05-2018,Happy as Lazzaro,7.4,564
447332,en,44.654,03-04-2018,A Quiet Place,7.4,12187
284054,en,216.096,13-02-2018,Black Panther,7.4,19906
25866,fr,12.626,24-03-1965,The Sucker,7.4,538
8810,en,29.413,24-12-1981,Mad Max 2,7.4,3023
614587,ja,11.88,06-12-2019,Lupin III: The First,7.4,244
489930,en,10.641,20-07-2018,Blindspotting,7.4,544
433247,en,12.535,18-02-2017,First They Killed My Father,7.4,573
312221,en,59.651,25-11-2015,Creed,7.4,6227
756,en,34.089,13-11-1940,Fantasia,7.4,2599
140,es,13.718,19-03-2004,Bad Education,7.4,788
463257,en,15.52,09-08-2019,The Peanut Butter Falcon,7.4,1078
15764,en,10.498,08-12-1982,Sophie's Choice,7.4,719
2757,en,12.473,06-12-2002,Adaptation.,7.4,2063
659959,fr,13.098,14-07-2020,Summer of 85,7.4,607
583689,en,15.426,03-03-2021,Moxie,7.4,683
497698,en,93.15,07-07-2021,Black Widow,7.4,8375
446893,en,60.141,11-03-2020,Trolls World Tour,7.4,1811
458131,en,12.401,05-04-2019,The Best of Enemies,7.4,342
11236,en,11.645,13-08-1993,The Secret Garden,7.4,758
1895,en,33.274,17-05-2005,Star Wars: Episode III - Revenge of the Sith,7.4,11942
274109,es,16.438,25-12-2015,Palm Trees in the Snow,7.4,480
87827,en,36.867,20-11-2012,Life of Pi,7.4,11890
26900,tr,7.854,29-11-1996,The Bandit,7.4,244
9361,en,16.179,26-08-1992,The Last of the Mohicans,7.4,2554
3766,en,14.403,24-12-1947,The Lady from Shanghai,7.4,514
2291,en,18.571,02-11-1990,Jacob's Ladder,7.4,1296
14638,en,17.163,28-08-1946,The Killers,7.4,304
1669,en,21.202,02-03-1990,The Hunt for Red October,7.4,2739
853,en,25.461,14-03-2001,Enemy at the Gates,7.4,2995
260,en,11.846,06-06-1935,The 39 Steps,7.4,749
153,en,23.187,18-09-2003,Lost in Translation,7.4,6231
520172,en,21.821,26-11-2020,Happiest Season,7.4,929
432616,fr,8.422,20-12-2017,Promise at Dawn,7.4,376
417320,en,32.336,21-07-2017,Descendants 2,7.4,1407
14433,en,12.682,22-01-1964,Zulu,7.4,411
12716,fr,7.525,29-08-1990,My Father's Glory,7.4,239
771,en,6.743,16-11-1990,Home Alone,7.4,9381
527,en,10.498,02-09-1994,Once Were Warriors,7.4,323
146,zh,21.62,06-07-2000,"Crouching Tiger, Hidden Dragon",7.4,2683
9385,fr,16.105,26-06-1976,The Twelve Tasks of Asterix,7.4,988
2798,fr,8.239,11-10-1967,Oscar,7.4,403
176,en,44.768,01-10-2004,Saw,7.4,7746
39356,en,13.09,14-02-2010,Boy,7.4,321
10474,en,23.136,21-04-1995,The Basketball Diaries,7.4,1642
9470,cn,35.676,10-02-2004,Kung Fu Hustle,7.4,2267
1359,en,49.944,13-04-2000,American Psycho,7.4,8655
64682,en,31.216,10-05-2013,The Great Gatsby,7.4,10909
38985,en,12.571,24-06-1977,Sorcerer,7.4,358
3063,en,8.944,12-11-1933,Duck Soup,7.4,622
2134,en,18.73,25-05-1960,The Time Machine,7.4,648
1245,en,12.723,05-11-1993,The Remains of the Day,7.4,1029
846214,en,42.572,07-07-2021,"The Simpsons: The Good, the Bart, and the Loki",7.4,579
583406,en,29.451,12-02-2021,Judas and the Black Messiah,7.4,1145
245913,en,21.131,06-05-2016,Pelé: Birth of a Legend,7.4,897
38884,en,8.256,07-04-1995,Land and Freedom,7.4,211
34647,en,14.918,17-06-2009,Enter the Void,7.4,1478
14645,fr,6.377,25-08-1982,Santa Claus Is a Stinker,7.4,819
4011,en,31.955,30-03-1988,Beetlejuice,7.4,5721
273481,en,34.914,17-09-2015,Sicario,7.4,7274
245891,en,58.254,22-10-2014,John Wick,7.4,16313
111969,en,19.039,14-06-2013,Stuck in Love,7.4,1722
14073,hi,10.568,13-02-2008,Jodhaa Akbar,7.4,206
13004,en,36.396,03-09-2008,Barbie and the Diamond Castle,7.4,699
11589,en,12.484,01-01-1970,Kelly's Heroes,7.4,573
814,en,23.026,21-08-1981,An American Werewolf in London,7.4,1925
88273,da,11.253,29-03-2012,A Royal Affair,7.4,739
16320,en,20.515,23-09-2005,Serenity,7.4,2987
13321,en,9.965,28-01-1944,Lifeboat,7.4,343
8681,en,65.438,18-02-2008,Taken,7.4,9850
794,en,21.252,25-06-1976,The Omen,7.4,1636
350,en,50.602,29-06-2006,The Devil Wears Prada,7.4,10389
28055,it,9.363,10-04-1964,Blood and Black Lace,7.4,307
6404,de,16.571,17-01-1979,Nosferatu the Vampyre,7.4,650
779,de,8.232,06-05-1932,Vampyr,7.4,394
760,fr,13.261,17-10-1973,The Mad Adventures of Rabbi Jacob,7.4,807
628,en,25.454,11-11-1994,Interview with the Vampire,7.4,4940
457,de,12.744,22-12-1955,Sissi,7.4,403
249164,en,26.694,21-08-2014,If I Stay,7.4,3884
38602,en,10.562,25-11-1980,Little Lord Fauntleroy,7.4,220
289222,en,15.7,24-03-2017,The Zookeeper's Wife,7.4,1346
45317,en,14.505,10-12-2010,The Fighter,7.4,3756
17681,en,14.597,05-11-1999,Scooby-Doo! and the Witch's Ghost,7.4,336
15601,en,18.345,09-10-2001,Scooby-Doo! and the Cyber Chase,7.4,430
802,en,25.467,13-06-1962,Lolita,7.4,1681
100271,ja,16.619,21-04-2012,A Letter to Momo,7.4,301
7863,en,11.684,15-08-1996,Shine,7.4,537
4203,es,13.46,25-03-1988,Women on the Verge of a Nervous Breakdown,7.4,713
395991,en,30.326,22-09-2017,Only the Brave,7.4,1287
157354,en,11.962,26-07-2013,Fruitvale Station,7.4,1085
39486,en,18.537,20-08-2010,Secretariat,7.4,491
590223,en,27.917,16-10-2020,Love and Monsters,7.4,3300
14283,fr,12.111,10-09-1998,The Red Violin,7.4,332
7249,en,20.44,27-11-2007,Futurama: Bender's Big Score,7.4,541
261470,es,25.255,20-06-2014,Sorry If I Call You Love,7.4,363
205220,en,11.248,01-11-2013,Philomena,7.4,1418
37211,en,23.309,13-11-1988,Scooby-Doo! and the Reluctant Werewolf,7.4,268
13635,fr,10.741,22-10-2008,Mesrine: Killer Instinct,7.4,789
11881,en,31.432,04-06-1947,Miracle on 34th Street,7.4,563
4133,en,26.469,04-04-2001,Blow,7.4,3785
1542,en,18.184,19-02-1999,Office Space,7.4,2442
546121,en,23.686,20-11-2020,Run,7.4,1952
454626,en,90.186,12-02-2020,Sonic the Hedgehog,7.4,8388
7452,en,8.892,13-10-1989,"The Cook, the Thief, His Wife & Her Lover",7.4,485
242643,en,17.057,12-08-2014,Batman: Assault on Arkham,7.4,959
90369,en,10.34,25-05-2012,Now Is Good,7.4,1013
9454,en,20.694,31-07-1998,EverAfter,7.4,1237
4147,en,20.904,12-07-2002,Road to Perdition,7.4,3059
474395,en,23.436,27-07-2018,Teen Titans Go! To the Movies,7.4,970
109689,es,43.708,22-06-2012,I Want You,7.4,1596
9662,fr,13.543,11-06-2003,The Triplets of Belleville,7.4,772
9426,en,40.407,15-08-1986,The Fly,7.4,3582
2252,en,17.302,14-09-2007,Eastern Promises,7.4,2731
53565,en,8.597,18-11-1928,Steamboat Willie,7.4,407
43316,en,6.51,25-12-1955,All That Heaven Allows,7.4,236
12902,en,16.885,21-06-2004,Scooby-Doo! and the Loch Ness Monster,7.4,351
11943,en,14.339,10-09-1972,Jeremiah Johnson,7.4,486
1116,en,12.386,23-03-2006,The Wind That Shakes the Barley,7.4,608
522369,en,11.111,04-10-2019,Sorry We Missed You,7.4,586
687,en,13.903,29-12-1995,Dead Man Walking,7.4,1127
429174,ru,9.617,01-06-2017,Loveless,7.4,625
37775,it,6.193,20-02-1981,"Bianco, rosso e Verdone",7.4,640
1429,en,15.061,19-12-2002,25th Hour,7.4,2011
840,en,22.15,18-11-1977,Close Encounters of the Third Kind,7.4,3548
350312,te,23.784,27-04-2017,B?hubali 2: The Conclusion,7.4,565
80278,en,22.313,09-09-2012,The Impossible,7.4,5592
33701,fr,6.865,22-11-1979,French Fried Vacation 2,7.4,1040
1554,en,9.286,20-09-1986,Down by Law,7.4,583
9571,en,11.731,24-09-1993,Dazed and Confused,7.4,1686
4232,en,43.944,20-12-1996,Scream,7.4,5439
12311,en,10.173,22-11-1935,Mutiny on the Bounty,7.4,255
1645,en,25.13,24-07-1996,A Time to Kill,7.4,1954
855,en,30.689,28-12-2001,Black Hawk Down,7.4,4806
547258,fr,5.408,04-09-2019,Play,7.4,303
11673,fr,12.691,28-03-1990,Cyrano de Bergerac,7.4,622
9065,de,7.392,27-06-1991,Europa,7.4,237
4032,en,18.854,01-01-1991,My Girl,7.4,1756
21484,fr,21.342,27-05-1981,Possession,7.4,764
20620,en,9.124,05-10-1966,Seconds,7.4,266
3080,en,9.643,29-08-1935,Top Hat,7.4,240
574093,en,8.089,12-11-2019,Float,7.4,215
401306,fr,7.174,10-12-1975,The Seventh Company Has Been Found,7.4,236
315635,en,83.299,05-07-2017,Spider-Man: Homecoming,7.4,19327
12776,it,7.947,24-10-1991,Johnny Stecchino,7.4,921
6003,en,18.928,02-04-1968,Romeo and Juliet,7.4,550
381,en,13.144,03-08-1955,To Catch a Thief,7.4,1225
113082,ja,18.357,03-02-2012,Berserk: The Golden Age Arc I - The Egg of the King,7.4,373
10024,en,16.196,26-06-2009,My Sister's Keeper,7.4,1841
2899,fr,31.171,30-01-2002,Asterix & Obelix: Mission Cleopatra,7.4,2837
250,da,7.341,10-09-1999,In China They Eat Dogs,7.4,207
307081,en,54.241,24-03-2015,Southpaw,7.4,4869
37094,en,15.991,26-02-1993,Falling Down,7.4,3037
470,en,13.381,06-09-2003,21 Grams,7.4,2669
140823,en,12.86,29-11-2013,Saving Mr. Banks,7.4,2963
81188,en,58.157,21-11-2012,Rise of the Guardians,7.4,5846
33436,fr,10.135,07-03-1969,The Brain,7.4,224
25793,en,13.346,06-11-2009,Precious,7.4,1419
19120,it,6.424,22-10-1965,Juliet of the Spirits,7.4,249
13188,en,21.228,28-11-1951,Scrooge,7.4,232
807196,en,17.09,05-07-2021,Boiling Point,7.4,260
476299,en,18.747,14-03-2018,Ghostland,7.4,1987
374461,en,9.472,16-09-2016,Mr. Church,7.4,391
4107,en,6.666,16-01-2002,Bloody Sunday,7.4,253
506528,en,12.232,01-11-2019,Harriet,7.4,635
504608,en,19.113,17-05-2019,Rocketman,7.4,3993
399404,en,21.569,22-11-2017,Darkest Hour,7.4,4500
379291,en,22.969,13-05-2016,Justice League vs. Teen Titans,7.4,741
46838,en,15.059,22-01-2010,Tucker and Dale vs. Evil,7.4,2291
42994,ja,15.509,23-12-1995,Memories,7.4,306
21956,en,17.74,30-09-2003,Scooby-Doo! and the Monster of Mexico,7.4,269
15080,ja,16.814,20-07-1991,Only Yesterday,7.4,851
14534,en,12.987,17-09-1993,Rudy,7.4,535
11206,en,11.258,26-10-1967,Wait Until Dark,7.4,415
10975,cn,18.797,07-02-1991,Operation Condor,7.4,421
2748,it,6.383,07-09-1954,Journey to Italy,7.4,221
593643,en,355.006,17-11-2022,The Menu,7.4,305
65754,en,19.361,14-12-2011,The Girl with the Dragon Tattoo,7.4,6050
6619,it,11.191,05-03-1971,Death in Venice,7.4,384
4710,fr,11.423,22-03-1966,Masculin Féminin,7.4,294
116,en,20.42,26-10-2005,Match Point,7.4,3559
212167,ja,16.712,09-11-2013,Patema Inverted,7.3,324
132363,en,12.68,16-08-2013,The Butler,7.3,2623
26405,en,5.361,21-07-1971,Wake in Fright,7.3,212
16307,en,13.559,01-12-1973,The Wicker Man,7.3,1048
11230,cn,16.458,05-10-1978,Drunken Master,7.3,756
184,en,20.124,10-04-1997,Jackie Brown,7.3,5473
545609,en,39.685,24-04-2020,Extraction,7.3,4720
10144,en,74.243,17-11-1989,The Little Mermaid,7.3,6718
9539,fr,24.926,03-09-2008,Martyrs,7.3,2187
571468,it,14.418,28-10-2021,Freaks Out,7.3,715
298582,en,12.702,11-09-2015,Full Out,7.3,313
259316,en,45.826,16-11-2016,Fantastic Beasts and Where to Find Them,7.3,17189
22164,en,22.322,07-02-2009,Blood and Bone,7.3,603
14554,en,9.801,13-01-1955,Bad Day at Black Rock,7.3,288
658,en,25.077,20-09-1964,Goldfinger,7.3,2997
75656,en,46.432,29-05-2013,Now You See Me,7.3,14086
420814,en,21.73,02-08-2018,Christopher Robin,7.3,2385
420809,en,66.738,16-10-2019,Maleficent: Mistress of Evil,7.3,5279
416477,en,12.433,30-03-2017,The Big Sick,7.3,2117
302528,en,7.844,23-10-2015,Remember,7.3,595
265712,ja,30.718,08-08-2014,Stand by Me Doraemon,7.3,393
3109,en,14.932,21-07-1952,The Quiet Man,7.3,407
19673,pl,12.216,13-05-1984,Sexmission,7.3,228
13199,en,12.914,13-03-1992,American Me,7.3,288
488,en,10.158,07-01-1952,The African Queen,7.3,748
13189,en,29.235,09-10-1984,A Christmas Carol,7.3,261
8056,fr,10.092,16-09-1998,Train of Life,7.3,242
2639,en,10.747,12-12-1997,Deconstructing Harry,7.3,775
1427,en,48.412,13-09-2006,Perfume: The Story of a Murderer,7.3,3863
874,en,10.906,13-12-1966,A Man for All Seasons,7.3,337
610120,en,6.61,27-06-2019,Anima,7.3,354
293670,ko,17.759,12-05-2016,The Wailing,7.3,1338
82695,en,20.124,18-12-2012,Les Misérables,7.3,4757
11426,en,12.028,28-08-1953,From Here to Eternity,7.3,505
88,en,23.931,21-08-1987,Dirty Dancing,7.3,5301
433498,en,21.307,07-09-2017,Papillon,7.3,1599
239877,it,8.057,28-11-2013,The Mafia Kills Only in Summer,7.3,1035
37799,en,26.886,01-10-2010,The Social Network,7.3,10453
10437,en,20.8,10-12-1992,The Muppet Christmas Carol,7.3,741
10234,de,13.119,11-09-1997,Funny Games,7.3,1457
801,en,13.346,23-12-1987,"Good Morning, Vietnam",7.3,2233
483306,en,4.92,23-04-2017,Dear Basketball,7.3,216
2666,en,19.135,27-02-1998,Dark City,7.3,2310
1923,en,14.496,03-06-1992,Twin Peaks: Fire Walk with Me,7.3,1582
483980,en,22.002,16-02-2018,Z-O-M-B-I-E-S,7.3,579
36998,fr,10.254,22-05-1996,The Eighth Day,7.3,224
23550,it,8.178,16-03-2001,His Secret Life,7.3,465
537681,en,10.782,03-01-2019,Giant Little Ones,7.3,207
13949,en,15.028,01-04-2007,Persuasion,7.3,244
759,en,14.798,14-07-1953,Gentlemen Prefer Blondes,7.3,754
1791,fr,14.876,05-09-2001,The Piano Teacher,7.3,876
342737,en,11.873,28-12-2016,20th Century Women,7.3,1001
304357,en,11.109,20-03-2015,Woman in Gold,7.3,1226
15362,fr,9.585,19-11-2008,Mesrine: Public Enemy #1,7.3,740
425,en,93.88,10-03-2002,Ice Age,7.3,11539
22803,en,43.345,15-10-2009,Law Abiding Citizen,7.3,4232
17074,en,11.076,04-10-1997,The Batman Superman Movie: World's Finest,7.3,203
14551,en,10.159,12-07-1950,Winchester '73,7.3,279
535356,es,11.255,24-05-2019,Elisa & Marcela,7.3,335
497582,en,65.59,23-09-2020,Enola Holmes,7.3,4982
40794,it,9.444,12-02-2010,Loose Cannons,7.3,697
38528,it,5.687,29-10-1976,Horse Fever,7.3,313
38142,ja,25.186,03-03-2007,5 Centimeters per Second,7.3,1594
10794,en,13.861,04-04-1968,The Party,7.3,611
892,fr,14.804,17-04-1991,Delicatessen,7.3,1162
271674,en,10.528,12-03-2015,Suite Française,7.3,1010
180,en,25.131,20-06-2002,Minority Report,7.3,7431
283591,en,14.645,23-03-2017,The Secret Scripture,7.3,238
54138,en,25.794,05-05-2013,Star Trek Into Darkness,7.3,8218
36940,it,9.631,15-01-2010,The First Beautiful Thing,7.3,473
18874,ja,11.892,01-09-2006,Ghost in the Shell: Stand Alone Complex – Solid State Society,7.3,211
15774,hi,10.815,17-12-2004,Swades,7.3,256
381288,en,61.002,15-11-2016,Split,7.3,15509
47735,sv,8.267,09-02-1953,Summer with Monika,7.3,267
3121,en,10.529,11-06-1975,Nashville,7.3,302
58,en,70.161,06-07-2006,Pirates of the Caribbean: Dead Man's Chest,7.3,14013
594328,en,29.178,28-08-2020,Phineas and Ferb: The Movie: Candace Against the Universe,7.3,317
318846,en,26.771,11-12-2015,The Big Short,7.3,7770
36040,en,11.318,01-07-1971,Walkabout,7.3,312
4043,es,8.562,07-02-1987,Law of Desire,7.3,218
1594,en,10.606,23-06-1964,A Shot in the Dark,7.3,411
50848,fr,6.133,24-11-2010,The Names of Love,7.3,254
2841,fr,10.158,26-10-2004,A Very Long Engagement,7.3,1009
498248,fr,15.633,02-08-2018,Mia and the White Lion,7.3,767
39148,ja,28.309,04-03-1996,Dragon Ball: The Path to Power,7.3,287
20312,en,21.774,13-04-2002,Interstate 60,7.3,533
14698,en,8.007,22-12-1959,"Suddenly, Last Summer",7.3,225
4543,en,11.565,31-03-1983,The Meaning of Life,7.3,1545
428836,en,18.707,28-06-2019,Ophelia,7.3,402
